Date,Output
2025-05-05,59.0
2025-05-06,18.0
2025-05-07,49.0
2025-05-08,35.0
2025-05-09,56.0
2025-05-10,38.0
2025-05-11,30.0
2025-05-12,60.0
2025-05-13,40.0
2025-05-14,39.0
2025-05-15,43.0
2025-05-16,50.0
2025-05-17,56.0
2025-05-18,53.0
2025-05-19,52.0
2025-05-20,49.0
2025-05-21,40.0
2025-05-22,44.0
2025-05-23,38.0
2025-05-24,59.0
2025-05-25,41.0
2025-05-26,37.0
2025-05-27,49.0
2025-05-28,54.0
2025-05-29,34.0
2025-05-30,42.0
2025-05-31,48.0
2025-06-01,30.0
2025-06-02,40.0
2025-06-03,31.0
2025-12-12,54.0
2025-12-13,53.0
2025-12-14,29.0
2025-12-15,50.0
2025-12-16,52.0
2025-12-17,51.0
2025-12-18,34.0
2025-12-19,29.0
2025-12-20,17.0
2025-12-21,53.0
2025-12-22,46.0
2025-12-23,46.0
